appid,name,developer,publisher,positive_reviews,negative_reviews,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,languages,genres,tags
10,Counter-Strike,Valve,Valve,190207,4866,"10,000,000 - 20,000,000",12223,159,228,40,9.99,14754,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,"Action, FPS, Multiplayer, Shooter, Classic, Team-Based, First-Person, Competitive, Tactical, 1990's, e-sports, PvP, Old School, Military, Strategy, Survival, Score Attack, 1980s, Assassin, Violent"
20,Team Fortress Classic,Valve,Valve,5291,877,"10,000,000 - 20,000,000",204,0,19,0,9.99,78,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,"Action, FPS, Multiplayer, Classic, Hero Shooter, Shooter, Team-Based, Class-Based, First-Person, 1990's, Old School, Co-op, Competitive, Fast-Paced, Retro, Online Co-Op, Violent, Mod, Funny, Remake"
30,Day of Defeat,Valve,Valve,4923,543,"10,000,000 - 20,000,000",2663,76,33,112,9.99,104,"English, French, German, Italian, Spanish - Spain",Action,"FPS, World War II, Multiplayer, Shooter, Action, War, Team-Based, Classic, First-Person, Class-Based, Military, Historical, Tactical, Singleplayer, Co-op, Difficult, Old School, Retro, World War I, Strategy"
40,Deathmatch Classic,Valve,Valve,1809,405,"10,000,000 - 20,000,000",269,2,22,2,9.99,5,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,"Action, FPS, Classic, Multiplayer, Shooter, First-Person, Arena Shooter, Old School, Sci-fi, Competitive, Fast-Paced, Retro, Co-op, Gore, Difficult, 1990's"
50,Half-Life: Opposing Force,Gearbox Software,Valve,12710,649,"10,000,000 - 20,000,000",594,0,211,0,9.99,85,"English, French, German, Korean",Action,"FPS, Action, Classic, Sci-fi, Singleplayer, Shooter, First-Person, Aliens, 1990's, Adventure, Atmospheric, Military, Story Rich, Silent Protagonist, Great Soundtrack, Gore, Puzzle, Co-op, Moddable, Retro"
60,Ricochet,Valve,Valve,3613,826,"10,000,000 - 20,000,000",153,0,7,0,9.99,6,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,"Action, FPS, Multiplayer, Classic, First-Person, Sci-fi, Shooter, Space, Cyberpunk, Memes, Platformer, Psychological Horror, 3D, Conspiracy, Old School, Retro, Cult Classic, Competitive, Sports, Great Soundtrack"
70,Half-Life,Valve,Valve,66209,2372,"10,000,000 - 20,000,000",695,85,189,87,9.99,602,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,"FPS, Sci-fi, Action, Singleplayer, 1990's, Multiplayer, Shooter, First-Person, Story Rich, Aliens, Classic, Silent Protagonist, Atmospheric, Adventure, Moddable, Action-Adventure, Retro, Gore, Difficult, PvP"
80,Counter-Strike: Condition Zero,Valve,Valve,18361,1782,"10,000,000 - 20,000,000",1034,2,40,2,9.99,490,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,"Action, FPS, Shooter, Multiplayer, First-Person, Singleplayer, Classic, Tactical, Team-Based, Competitive, Strategy, Online Co-Op, Military, Adventure, Survival, Atmospheric, Open World, Old School, Simulation, Dark"
130,Half-Life: Blue Shift,Gearbox Software,Valve,9072,877,"10,000,000 - 20,000,000",323,0,136,0,9.99,46,"English, French, German",Action,"FPS, Action, Sci-fi, Singleplayer, Shooter, Aliens, Classic, First-Person, Zombies, Adventure, 1990's, Short, Atmospheric, Silent Protagonist, Story Rich, Puzzle, Moddable, Great Soundtrack, Retro, Gore"
220,Half-Life 2,Valve,Valve,130981,3512,"10,000,000 - 20,000,000",739,27,362,31,9.99,827,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese, Swedish, Thai",Action,"FPS, Action, Sci-fi, Classic, Singleplayer, Story Rich, Shooter, First-Person, Adventure, Dystopian , Atmospheric, Zombies, Silent Protagonist, Physics, Aliens, Great Soundtrack, Horror, Puzzle, Multiplayer, Moddable"
240,Counter-Strike: Source,Valve,Valve,127028,5084,"10,000,000 - 20,000,000",7958,138,452,120,9.99,5208,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish",Action,"Shooter, Action, FPS, Multiplayer, Team-Based, First-Person, Tactical, Competitive, PvP, e-sports, Military, War, Strategy, Moddable, Singleplayer, Difficult, Atmospheric, Survival, Simulation, Sandbox"
280,Half-Life: Source,Valve,Valve,7528,2690,"10,000,000 - 20,000,000",352,0,73,0,9.99,58,"English, French, German, Italian, Japanese, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Korean",Action,"FPS, Action, Classic, Sci-fi, Singleplayer, Shooter, First-Person, Aliens, Zombies, 1990's, Story Rich, Adventure, Remake, Atmospheric, Silent Protagonist, Multiplayer, Horror, Moddable, Great Soundtrack, Gore"
300,Day of Defeat: Source,Valve,Valve,15456,1540,"10,000,000 - 20,000,000",672,60,174,60,9.99,609,English,Action,"FPS, World War II, Multiplayer, Action, Shooter, Team-Based, Military, War, First-Person, Historical, Class-Based, Classic, Tactical, Realistic, Online Co-Op, Strategy, Gore, Massively Multiplayer, Simulation, Comedy"
320,Half-Life 2: Deathmatch,Valve,Valve,9111,1005,"10,000,000 - 20,000,000",695,0,53,0,9.99,254,English,Action,"Action, FPS, Multiplayer, Shooter, First-Person, Sci-fi, Physics, Competitive, Funny, Co-op, Old School, PvP, Arena Shooter, Moddable, Atmospheric, Adventure, Great Soundtrack, Singleplayer, Online Co-Op, Mod"
340,Half-Life 2: Lost Coast,Valve,Valve,8612,1224,"10,000,000 - 20,000,000",88,0,22,0,9.99,16,"English, French, German, Italian, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Korean",Action,"FPS, Action, Singleplayer, First-Person, Sci-fi, Shooter, Short, Aliens, Dystopian , Classic, Adventure, Atmospheric, Benchmark, Futuristic, Silent Protagonist, Free to Play, Multiplayer, Post-apocalyptic, Story Rich, Great Soundtrack"
360,Half-Life Deathmatch: Source,Valve,Valve,2274,755,"10,000,000 - 20,000,000",213,18,16,18,9.99,19,English,Action,"Action, FPS, Multiplayer, Shooter, Sci-fi, First-Person, Classic, Remake, Adventure, Horror, Competitive, Fast-Paced, Atmospheric, Singleplayer"
380,Half-Life 2: Episode One,Valve,Valve,18238,872,"10,000,000 - 20,000,000",284,33,206,33,9.99,164,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese, Swedish, Thai",Action,"FPS, Action, Sci-fi, Singleplayer, First-Person, Story Rich, Shooter, Classic, Dystopian , Adventure, Aliens, Zombies, Episodic, Atmospheric, Silent Protagonist, Great Soundtrack, Short, Puzzle, Cinematic, Moddable"
400,Portal,Valve,Valve,96876,1567,"10,000,000 - 20,000,000",294,39,183,39,9.99,436,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean",Action,"Puzzle, Puzzle-Platformer, 3D Platformer, First-Person, Singleplayer, Sci-fi, Comedy, Female Protagonist, Action, Funny, Physics, Story Rich, Classic, Platformer, Science, FPS, Atmospheric, Short, Adventure, Dark Humor"
420,Half-Life 2: Episode Two,Valve,Valve,26383,864,"10,000,000 - 20,000,000",430,6,276,6,9.99,194,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese",Action,"FPS, Action, Sci-fi, Singleplayer, Shooter, Story Rich, First-Person, Classic, Adventure, Aliens, Atmospheric, Zombies, Silent Protagonist, Great Soundtrack, Dystopian , Post-apocalyptic, Episodic, Puzzle, Horror, Multiplayer"
440,Team Fortress 2,Valve,Valve,781742,52175,"10,000,000 - 20,000,000",10140,1222,340,240,9.99,79865,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Czech, Hungarian, Portuguese - Brazil, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainian","Action, Free to Play","Free to Play, Hero Shooter, Multiplayer, FPS, Shooter, Action, Class-Based, Team-Based, Funny, First-Person, Online Co-Op, Competitive, Cartoony, Trading, Co-op, Comedy, Robots, Tactical, Cartoon, Crafting"
500,Left 4 Dead,Valve,Valve,36297,1489,"10,000,000 - 20,000,000",3453,67,194,67,9.99,470,"English, French, German, Spanish - Spain, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese, Simplified Chinese, Swedish, Traditional Chinese, Korean",Action,"Zombies, Co-op, Multiplayer, FPS, Action, Horror, Shooter, Online Co-Op, Team-Based, Survival, First-Person, Post-apocalyptic, Singleplayer, Atmospheric, Adventure, Moddable, Tactical, Replay Value, Competitive, Female Protagonist"
550,Left 4 Dead 2,Valve,Valve,554107,14900,"10,000,000 - 20,000,000",2574,189,534,102,9.99,17833,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Hungarian, Turkish, Bulgarian, Czech, Greek, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Ukrainian, Vietnamese",Action,"Zombies, Co-op, FPS, Multiplayer, Shooter, Action, Online Co-Op, Survival, Horror, First-Person, Gore, Team-Based, Survival Horror, Moddable, Post-apocalyptic, Singleplayer, Adventure, Local Co-Op, Replay Value, Tactical"
570,Dota 2,Valve,Valve,1371015,265462,"10,000,000 - 20,000,000",37427,1826,949,871,9.99,658427,"English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnamese","Action, Free to Play, Strategy","Free to Play, MOBA, Multiplayer, Strategy, e-sports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, Tower Defense, Fantasy, RPG, Character Customization, Replay Value, Action RPG, Simulation"
620,Portal 2,Valve,Valve,270812,3304,"10,000,000 - 20,000,000",885,103,533,128,9.99,2080,"English, French, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish","Action, Adventure","Platformer, Puzzle, Dark Humor, Puzzle-Platformer, First-Person, Story Rich, Female Protagonist, Funny, 3D Platformer, Action-Adventure, Action, FPS, Co-op, Physics, Level Editor, Sci-fi, Science, Atmospheric, Comedy, Adventure"
630,Alien Swarm,Valve,Valve,18868,1040,"10,000,000 - 20,000,000",416,0,104,0,9.99,58,English,Action,"Free to Play, Co-op, Action, Multiplayer, Online Co-Op, Aliens, Shooter, Sci-fi, Top-Down, Top-Down Shooter, Survival, Third Person, PvE, Class-Based, Team-Based, Third-Person Shooter, Moddable, Singleplayer, Strategy, Adventure"
730,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,5356436,719915,"10,000,000 - 20,000,000",30285,890,7367,296,9.99,650671,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese","Action, Free to Play","FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, e-sports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable"
1200,Red Orchestra: Ostfront 41-45,Tripwire Interactive,Tripwire Interactive,1905,283,"10,000,000 - 20,000,000",348,50,379,50,9.99,10,"English, French, Russian",Action,"World War II, Action, FPS, Realistic, Multiplayer, Singleplayer, Shooter, War, Tactical, Military, Simulation, Historical, Team-Based, Classic, Strategy, Atmospheric, First-Person, Survival, Tanks"
1250,Killing Floor,Tripwire Interactive,Tripwire Interactive,59694,3168,"10,000,000 - 20,000,000",1866,408,288,408,9.99,377,"English, French, Italian, German, Spanish - Spain, Hungarian, Polish, Russian",Action,"FPS, Zombies, Co-op, Survival, Horror, Action, Multiplayer, Online Co-Op, Gore, Shooter, Team-Based, First-Person, Survival Horror, Moddable, Great Soundtrack, Class-Based, Singleplayer, Difficult, Comedy, Adventure"
1500,Darwinia,Introversion Software,Introversion Software,588,181,"10,000,000 - 20,000,000",51,0,33,0,9.99,3,"English, German, French, Italian, Spanish - Spain","Indie, Strategy","Strategy, Indie, RTS, Singleplayer, Retro, Story Rich, Action, Top-Down, Atmospheric"
1510,Uplink,Introversion Software,Introversion Software,1897,183,"10,000,000 - 20,000,000",245,0,86,0,9.99,10,English,"Indie, Strategy","Hacking, Indie, Strategy, Singleplayer, Cyberpunk, Great Soundtrack, Simulation, Classic, Sci-fi, Real-Time with Pause, 2D, Experimental, Atmospheric, Story Rich, Addictive, Rogue-like, Perma Death, Puzzle, Programming, Text-Based"
1520,DEFCON,Introversion Software,Introversion Software,2794,435,"10,000,000 - 20,000,000",599,0,38,0,9.99,19,"English, French, German, Italian, Spanish - Spain","Indie, Strategy","Strategy, Indie, Wargame, Cold War, Multiplayer, Psychological Horror, Real-Time with Pause, Simulation, Atmospheric, RTS, War, 2D, Diplomacy, Tactical, Great Soundtrack, Singleplayer, Horror, Dark, Addictive, Military"
1530,Multiwinia,Introversion Software,Introversion Software,414,89,"10,000,000 - 20,000,000",105,0,85,0,9.99,1,"English, French, Italian, German, Spanish - Spain",Indie,"Indie, RTS, Strategy, Multiplayer, Singleplayer, Retro"
1840,Source Filmmaker,Valve,Valve,26032,1867,"10,000,000 - 20,000,000",4814,648,53,1219,9.99,1065,English,"Animation & Modeling, Video Production","Animation & Modeling, Video Production, Free to Play, Software, Movie, Sandbox, Difficult, Funny, Comedy, Singleplayer, Moddable, Character Customization, Memes, Anime, Great Soundtrack, Games Workshop, Survival Horror, Sexual Content, Family Friendly, Adventure"
1900,Earth 2160,Reality Pump Studios,"Topware Interactive, ACE",814,352,"10,000,000 - 20,000,000",637,0,425,0,9.99,52,"English, French, German, Spanish - Spain, Italian, Czech, Polish, Russian",Strategy,"Base-Building, Space, RTS, Real-Time, Action RPG, Strategy, Post-apocalyptic, Historical, Action, Simulation, Pixel Graphics, Sci-fi, Atmospheric, Aliens, Futuristic, Resource Management, Co-op, Multiplayer, Singleplayer, Tactical RPG"
1930,Two Worlds Epic Edition,Reality Pump Studios,Topware Interactive,3638,1211,"10,000,000 - 20,000,000",382,0,413,0,9.99,22,"English, French, German, Italian, Spanish - Spain, Czech, Polish, Russian",RPG,"RPG, Open World, Fantasy, Third Person, Singleplayer, Multiplayer, Adventure, Action, Medieval, Action RPG, Story Rich, Character Customization, Dark Fantasy, Magic, Hack and Slash, Co-op, Exploration, Classic"
2100,Dark Messiah of Might & Magic,Arkane Studios,Ubisoft,7169,611,"10,000,000 - 20,000,000",395,0,345,0,9.99,55,"English, French, German, Italian, Spanish - Spain","Action, RPG","RPG, First-Person, Action, Fantasy, Dark Fantasy, Swordplay, Adventure, Magic, Classic, Singleplayer, Stealth, Multiple Endings, Story Rich, Medieval, Action RPG, Atmospheric, Gore, Hack and Slash, Multiplayer, Immersive Sim"
2200,Quake III Arena,id Software,id Software,2553,118,"10,000,000 - 20,000,000",557,0,120,0,9.99,27,English,Action,"FPS, Action, Arena Shooter, Classic, Multiplayer, Shooter, Competitive, 1990's, First-Person, Gore, Fast-Paced, Difficult, Singleplayer, Sci-fi, Moddable, e-sports, Old School, Atmospheric, Retro, Female Protagonist"
2280,Ultimate Doom,id Software,id Software,10677,410,"10,000,000 - 20,000,000",235,193,116,193,9.99,43,"English, French, Italian, German, Spanish - Spain",Action,"Classic, FPS, Action, 1990's, Great Soundtrack, Retro, Demons, Old School, Shooter, Singleplayer, Gore, Moddable, First-Person, Sci-fi, Fast-Paced, Violent, Multiplayer, 2.5D, Difficult, Horror"
2290,Final DOOM,id Software,id Software,946,167,"10,000,000 - 20,000,000",20,0,16,0,9.99,11,English,Action,"FPS, Action, Classic, Retro, Shooter, Singleplayer, 1990's, First-Person, Moddable, Sci-fi, Difficult, Gore, Great Soundtrack, Multiplayer, Demons, Old School, Zombies, Horror, Atmospheric, Online Co-Op"
2300,DOOM II,id Software,id Software,5424,293,"10,000,000 - 20,000,000",193,42,20,42,9.99,73,"English, French, Italian, German, Spanish - Spain",Action,"Classic, FPS, Action, 1990's, Shooter, Retro, Demons, Gore, First-Person, Moddable, Violent, Old School, Sci-fi, Singleplayer, Multiplayer, Great Soundtrack, Pixel Graphics, Horror, Zombies, Online Co-Op"
2310,QUAKE,"id Software, Nightdive Studios, MachineGames",Bethesda Softworks,8826,384,"10,000,000 - 20,000,000",166,793,49,793,9.99,165,"English, French, Italian, German, Spanish - Spain, Russian",Action,"FPS, Classic, Action, Shooter, 1990's, Singleplayer, Multiplayer, Lovecraftian, Gore, First-Person, Old School, Horror, Retro, Great Soundtrack, Moddable, Fast-Paced, Sci-fi, Atmospheric, Competitive, Co-op"
2350,QUAKE III: Team Arena,id Software,id Software,185,45,"10,000,000 - 20,000,000",10,0,18,0,9.99,5,English,Action,"Action, Shooter, FPS, First-Person, Competitive, Multiplayer, Classic, Fast-Paced, Arena Shooter"
2400,The Ship: Murder Party,Outerlight Ltd.,Blazing Griffin,5037,830,"10,000,000 - 20,000,000",188,0,150,0,9.99,4,"English, French, German, Italian, Spanish - Spain, Polish, Russian, Japanese","Action, Indie, RPG","Multiplayer, Indie, First-Person, Action, Stealth, RPG, Mystery, Assassin, Funny, Survival, Singleplayer, FPS, Simulation, Comedy, Shooter, Strategy, Adventure, Difficult, Stylized, Replay Value"
2600,Vampire: The Masquerade - Bloodlines,Troika Games,Activision,9888,530,"10,000,000 - 20,000,000",1050,0,735,0,9.99,68,"English, French, German",Action,"RPG, Vampire, Cult Classic, Singleplayer, Supernatural, Action, Horror, Dark, Atmospheric, Story Rich, Classic, Action RPG, Great Soundtrack, Gothic, First-Person, Immersive, Female Protagonist, Adventure, Third Person, Stealth"
2630,Call of Duty 2,Infinity Ward,Activision,5523,421,"10,000,000 - 20,000,000",620,0,680,0,9.99,285,"English, French, German, Italian, Spanish - Spain",Action,"Action, World War II, FPS, Multiplayer, Singleplayer, Shooter, War, Classic, First-Person, Historical, Atmospheric, Military, Story Rich, Co-op, Adventure, Controller, Casual, Online Co-Op, Zombies, Simulation"
2700,RollerCoaster Tycoon 3: Platinum,"Frontier, Aspyr (Mac)","Frontier, Aspyr (Mac)",4340,432,"10,000,000 - 20,000,000",447,0,234,0,9.99,79,"English, French, Italian, German, Spanish - Spain, Danish, Dutch, Finnish, Norwegian, Swedish","Simulation, Strategy","Simulation, Management, Sandbox, Building, Strategy, Singleplayer, Economy, Classic, Real-Time with Pause, Family Friendly, Funny, Moddable, Multiplayer, City Builder, Great Soundtrack, Open World, Comedy, Casual, Free to Play, Adventure"
2810,X3: Reunion,Egosoft,Egosoft,382,149,"10,000,000 - 20,000,000",65,0,88,0,9.99,19,"English, French, German, Spanish - Spain, Italian, Russian, Simplified Chinese, Traditional Chinese, Czech, Polish",Strategy,"Space, Simulation, Strategy, Space Sim, Sci-fi, Sandbox, Economy, Singleplayer, Open World, Flight, Action, Trading, Exploration, 4X"
2820,X3: Terran Conflict,Egosoft,Egosoft,2085,353,"10,000,000 - 20,000,000",1337,0,214,0,9.99,62,"English, French, German, Italian, Russian, Polish, Simplified Chinese, Traditional Chinese, Czech, Spanish - Spain, Japanese","Action, Simulation, Strategy","Space, Simulation, Sandbox, Sci-fi, Strategy, Space Sim, Open World, Trading, Singleplayer, Economy, Action, Capitalism, Flight, Great Soundtrack, 4X, Moddable, Exploration, Atmospheric, Management, Multiplayer"
