appid,name,developer,publisher,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
1948280,Stacklands,Sokpop Collective,Sokpop Collective,0,0,0,"200,000 .. 500,000",346,196,271,281,374,499,25,2089,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Traditional Chinese","Casual, Indie, Simulation","Card Battler, Management, Card Game, Rogue-lite, Survival, City Builder, Solitaire, Building, Strategy, Tabletop, 2D, Cute, Deckbuilding, Singleplayer, Simulation, Colorful, Hand-drawn, Indie, Casual, Fantasy"
567140,Mahjong Magic Journey,Creobit,8Floor,71,15,0,"20,000 .. 50,000",253,0,269,0,49,499,90,5,"English, Russian",Casual,"Casual, Puzzle, Mahjong"
420210,KRUM - Edge Of Darkness,HA Studio Ltd.,SA Industry,58,87,0,"50,000 .. 100,000",241,182,301,182,37,199,81,96,"English, French, German, Spanish - Spain, Bulgarian, Dutch, Portuguese - Brazil, Russian, Hungarian","Action, Adventure, Indie, RPG","Adventure, RPG, Indie, Action"
541920,Help,Volens Nolens Games,Volens Nolens Games,61,59,0,"50,000 .. 100,000",36,0,36,0,39,399,90,85,"English, Russian","Action, Adventure, Indie","Action, Adventure, Indie, Horror, Strategy, Open World, FPS, 3D, Anime, First-Person, Memes, Psychological Horror, Thriller, Co-op Campaign, Online Co-Op, Singleplayer"
385080,Guardians of Victoria,Tall Story Studios,New Reality Games,61,179,0,"200,000 .. 500,000",338,0,345,0,99,199,50,80,English,Casual,"Casual, Indie, Fantasy, Steampunk, Adventure, Runner, Platformer"
317970,Dusk 12,Orion Games,ESDigital Games,83,96,0,"50,000 .. 100,000",112,0,126,0,39,399,90,69,"English, Russian",Action,"Action, FPS, Cult Classic, Shooter"
586790,Hold your houses,WhackAKey Games,Big Black Bear,15,34,0,"20,000 .. 50,000",260,0,267,0,49,99,51,55,English,"Action, Strategy","Action, Strategy, Tower Defense, Shooter, Real Time Tactics, FPS, 3D, First-Person, Atmospheric, Military, War, Survival, Combat, Base-Building, Singleplayer, Violent, Female Protagonist, Memes"
1919140,Antioch: Scarlet Bay,Midnight Mood Studio,"Unexpected, FondGame",20,3,0,"200,000 .. 500,000",0,0,0,0,424,499,15,53,"English, French, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean","Adventure, Casual, Indie","Detective, Multiple Endings, Noir, Online Co-Op, Co-op, Asynchronous Multiplayer, 1990's, Thriller, Dark Comedy, Interactive Fiction, Funny, Story Rich, Choices Matter, Comic Book, Visual Novel, Choose Your Own Adventure, Dark, Colorful, Multiplayer, Adventure"
371220,VERLIES II,Koya Game,Koya Game,65,51,0,"50,000 .. 100,000",41,0,41,0,50,299,83,38,English,"Adventure, Indie, RPG","Hack and Slash, Dungeon Crawler, Rogue-lite, Perma Death, Difficult, Survival, Rogue-like, Action RPG, First-Person, 2.5D, Procedural Generation, Cartoony, Loot, Dark Fantasy, Fantasy, Magic, Singleplayer, Indie, Replay Value, Grid-Based Movement"
503830,The Life Of Greather,GreatherGames,GreatherGames,66,46,0,"50,000 .. 100,000",173,0,181,0,35,199,82,33,English,"Adventure, Indie, RPG","Adventure, RPG, Indie, Action, Open World, Great Soundtrack, Exploration, Walking Simulator"
595780,Rogue Port - Blue Nightmare,Volens Nolens Games,Volens Nolens Games,33,12,0,"100,000 .. 200,000",379,0,393,0,39,399,90,31,English,"Action, Adventure, Indie, RPG","Action, Adventure, RPG, Indie, Pixel Graphics, RPGMaker, 2D, Retro, Action RPG, CRPG, Modern, Linear, Singleplayer, Controller"
578830,Cavern of Time,SimProse Studios,Aldorlea Games,46,28,0,"50,000 .. 100,000",234,0,234,0,39,399,90,31,English,"Adventure, Casual, Indie, RPG, Simulation, Strategy","Adventure, Indie, Casual, RPG, Simulation, Strategy, RPGMaker, Female Protagonist"
