appid,name,developer,publisher,positive_reviews,negative_reviews,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,languages,genres,tags
570,Dota 2,Valve,Valve,1529022,316017,"10,000,000 - 20,000,000",35375,1411,907,672,9.99,902254,"English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnamese","Action, Free to Play, Strategy","Free to Play, MOBA, Multiplayer, Strategy, e-sports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, Tower Defense, RPG, Fantasy, Character Customization, Replay Value, Action RPG, Simulation"
730,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,5933800,785996,"10,000,000 - 20,000,000",28622,719,6242,273,9.99,852299,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese","Action, Free to Play","FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, e-sports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable"
578080,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.",1183722,907912,"10,000,000 - 20,000,000",22157,608,6209,236,9.99,358735,"English, Korean, Simplified Chinese, French, German, Spanish - Spain, Arabic, Japanese, Polish, Portuguese - Portugal, Russian, Turkish, Thai, Italian, Portuguese - Brazil, Traditional Chinese, Ukrainian","Action, Adventure, Free to Play, Massively Multiplayer","Survival, Shooter, Multiplayer, Battle Royale, FPS, PvP, Third-Person Shooter, Action, Online Co-Op, Tactical, Co-op, First-Person, Strategy, Early Access, Competitive, Third Person, Team-Based, Difficult, Simulation, Stealth"
1172470,Apex Legends,Respawn Entertainment,Electronic Arts,448412,75416,"10,000,000 - 20,000,000",6618,680,887,278,9.99,281637,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Spanish - Latin America","Action, Adventure, Free to Play","Free to Play, Multiplayer, Battle Royale, Shooter, First-Person, FPS, PvP, Action, Hero Shooter, Team-Based, Tactical, Character Customization, Survival, Sci-fi, Loot, Funny, Lore-Rich, Co-op, Cyberpunk, Cinematic"
1599340,Lost Ark,Smilegate RPG,Amazon Games,128501,45548,"10,000,000 - 20,000,000",3555,2230,698,2789,9.99,253034,"English, French, German, Spanish - Spain","Action, Adventure, Free to Play, Massively Multiplayer, RPG","MMORPG, Free to Play, Action RPG, RPG, Multiplayer, Hack and Slash, Action, Massively Multiplayer, Adventure, PvP, Fantasy, Character Customization, PvE, Isometric, Sexual Content, Class-Based, Online Co-Op, Violent, Gore, Singleplayer"
1938090,Call of Duty: Modern Warfare II,"Infinity Ward, Raven Software, Beenox, Treyarch, High Moon Studios, Sledgehammer Games, Activision Shanghai, Demonware, Toys for Bob",Activision,16018,12744,"10,000,000 - 20,000,000",980,980,837,837,9.99,243381,"English, French, Italian, German, Spanish - Spain, Korean, Polish, Russian, Traditional Chinese, Japanese, Spanish - Latin America, Arabic, Simplified Chinese, Portuguese - Brazil",Action,"FPS, Action, Multiplayer, Shooter, Military, First-Person, Singleplayer, Modern, War, Tactical, Story Rich, Violent, Realistic, Co-op, Atmospheric, Mature, Online Co-Op, Gore, Third-Person Shooter, Third Person"
271590,Grand Theft Auto V,Rockstar North,Rockstar Games,1226305,213208,"10,000,000 - 20,000,000",12226,496,5667,145,9.99,145573,"English, French, Italian, German, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Japanese, Simplified Chinese, Spanish - Latin America","Action, Adventure","Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Shooter, Mature, Adventure, Singleplayer, Third-Person Shooter, Racing, Co-op, Atmospheric, Sandbox, Funny, Great Soundtrack, Comedy, Moddable"
1203220,NARAKA: BLADEPOINT,24 Entertainment,NetEase Games Montréal,101607,28931,"10,000,000 - 20,000,000",7120,603,1839,333,9.99,119233,"English, Simplified Chinese, Traditional Chinese, Japanese, Korean, French, German, Spanish - Spain, Russian, Turkish, Portuguese - Portugal, Vietnamese, Thai","Action, Adventure, Massively Multiplayer","Sexual Content, Battle Royale, Multiplayer, Nudity, Martial Arts, PvP, Survival, Third Person, Action, Hack and Slash, Massively Multiplayer, Female Protagonist, Character Customization, Parkour, Swordplay, Violent, Fighting, Adventure, Anime, Gore"
252490,Rust,Facepunch Studios,Facepunch Studios,730172,111875,"10,000,000 - 20,000,000",18594,1748,3334,696,9.99,101937,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Ukrainian, Polish, Portuguese - Portugal, Turkish, Arabic, Czech, Danish, Dutch, Finnish, Greek, Norwegian, Portuguese - Brazil, Spanish - Latin America, Swedish, Traditional Chinese, Vietnamese","Action, Adventure, Indie, Massively Multiplayer, RPG","Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, PvP, Sandbox, Adventure, First-Person, Action, FPS, Nudity, Co-op, Shooter, Online Co-Op, Indie, Early Access, Post-apocalyptic, Simulation"
431960,Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,558487,10988,"10,000,000 - 20,000,000",3732,137,797,10,9.99,101844,"English, German, Simplified Chinese, Polish, Portuguese - Brazil, French, Italian, Spanish - Spain, Finnish, Japanese, Korean, Swedish, Thai, Traditional Chinese, Turkish, Portuguese - Portugal, Russian, Danish, Czech, Arabic, Ukrainian, Indonesian, Persian","Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities","Mature, Utilities, Software, Anime, Design & Illustration, Animation & Modeling, Memes, Indie, Cute, NSFW, Funny, Action, Early Access, Singleplayer, Photo Editing, Sandbox, Game Development, Horror, First-Person, Gaming"
